2020-07-07 11:00:30,580 | INFO     | client | 200 : OK
2020-07-07 11:01:21,427 | INFO     | client | 200 : OK
2020-07-07 11:01:42,575 | INFO     | client | 200 : OK
2020-07-07 11:19:08,511 | INFO     | decorators | client
2020-07-07 11:36:33,086 | INFO     | decorators | Test info event
2020-07-07 11:39:15,396 | INFO     | decorators | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:39:15,398 | INFO     | decorators | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 11:40:00,093 | INFO     | decorators | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:40:00,094 | INFO     | decorators | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 11:43:21,805 | WARNING  | decorators | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:43:21,806 | WARNING  | decorators | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 11:43:37,032 | WARNING  | decorators | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:43:37,033 | WARNING  | decorators | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 11:45:31,920 | WARNING  | decorators | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:45:31,921 | WARNING  | decorators | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 11:50:25,187 | INFO     | decorators | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:50:25,189 | INFO     | decorators | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 11:52:12,011 | INFO     | decorators | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:52:12,012 | INFO     | decorators | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 11:54:59,760 | INFO     | decorators | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:54:59,907 | INFO     | decorators | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:54:59,908 | INFO     | decorators | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 11:55:41,195 | INFO     | decorators | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:55:41,319 | INFO     | decorators | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:55:41,320 | INFO     | decorators | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 11:55:49,406 | INFO     | decorators | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:55:49,409 | INFO     | decorators | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:55:49,410 | INFO     | decorators | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 11:58:13,339 | INFO     | decorators | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:58:13,342 | INFO     | decorators | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:58:13,343 | INFO     | decorators | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 12:00:40,925 | INFO     | decorators | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:00:40,932 | INFO     | decorators | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:00:40,934 | INFO     | decorators | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 12:07:24,136 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:07:24,140 | INFO     | client | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:07:24,142 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 12:08:12,833 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:08:13,008 | INFO     | client | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:08:13,009 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 12:08:47,058 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:08:47,178 | INFO     | client | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:08:47,179 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 12:09:00,658 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:09:00,661 | INFO     | client | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:09:00,662 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 12:09:03,987 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:09:03,991 | INFO     | client | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
