2020-07-06 20:32:36,817 | ERROR    | server | {'response_default_ip_address': 400, 'error': 'Bad Request.'}
2020-07-06 21:08:36,226 | ERROR    | server | {'response_default_ip_address': 400, 'error': 'Bad Request.'}
2020-07-06 22:43:02,677 | ERROR    | server | {'response_default_ip_address': 400, 'error': 'Bad Request.'}
2020-07-07 09:39:07,296 | INFO     | server | 200 : OK
2020-07-07 09:39:59,618 | INFO     | server | 200 : OK
2020-07-07 09:40:27,967 | INFO     | server | 200 : OK
2020-07-07 11:52:11,879 | INFO     | server | 200 : OK
2020-07-07 11:54:59,905 | INFO     | decorators | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '07-07-2020 11:54 59', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:55:41,317 | INFO     | decorators | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '07-07-2020 11:55 41', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:55:49,407 | INFO     | decorators | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '07-07-2020 11:55 49', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:58:13,340 | INFO     | decorators | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '07-07-2020 11:58 13', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 11:59:40,367 | INFO     | decorators | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '07-07-2020 11:59 40', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:00:40,927 | INFO     | decorators | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '07-07-2020 12:00 40', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:07:24,138 | INFO     | decorators | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '07-07-2020 12:07 23', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:08:47,177 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '07-07-2020 12:08 46', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:09:00,659 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '07-07-2020 12:09 00', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:09:03,989 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '07-07-2020 12:09 03', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:22:06,170 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '07-07-2020 12:22 05', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:25:14,685 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '07-07-2020 12:25 14', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
